Email,First Name,Last Name,Plan,Source,Seats,Created At,Trial Ends At,Canceled At,Trial Converted,Active Subscription,Legacy Plan,Latitude,Longitude,Country
kub.macy@gmail.example,Macy,Kub,Basic,Facebook,32,2020-09-15T16:11:50,2020-09-30T12:00:00,,TRUE,TRUE,FALSE,24.53256,81.29234,IN
kim-cormier@hotmail.example,Kim,Cormier,Basic,,1,2020-09-18T08:36:00,2020-10-02T12:00:00,2020-10-02T00:00:33,FALSE,FALSE,FALSE,41.29177,-72.3762,US
princess-tillman@yahoo.example,Princess,Tillman,Basic,Twitter,1,2020-09-18T16:12:48,2020-10-03T12:00:00,2020-10-02T20:00:14,FALSE,FALSE,FALSE,41.64172,-85.41665,US
pfannerstill-jeramie@yahoo.example,Jeramie,Pfannerstill,Basic,Twitter,3,2020-09-22T03:12:17,2020-10-06T12:00:00,2020-10-05T20:00:16,FALSE,FALSE,FALSE,47.80864,0.91499,FR
johnston.clay@gmail.example,Clay,Johnston,Basic,Facebook,1,2020-09-23T16:43:02,2020-10-08T12:00:00,2020-11-07T20:00:11,TRUE,FALSE,FALSE,10.2548,122.9983,PH
magnus.carroll@yahoo.example,Magnus,Carroll,Basic,,1,2020-09-23T22:02:49,2020-10-08T12:00:00,2020-10-07T20:00:17,FALSE,FALSE,FALSE,28.24196,-81.56674,US
conner.o.mekhi@hotmail.example,Mekhi,O'Conner,Basic,Google,19,2020-09-24T14:59:30,2020-10-09T12:00:00,,TRUE,TRUE,FALSE,10.51596,123.3085,PH
prince-schowalter@hotmail.example,Prince,Schowalter,Basic,,8,2020-09-24T19:32:16,2020-10-09T12:00:00,2021-11-03T20:00:09,TRUE,FALSE,FALSE,44.35382,10.62375,IT
johns-mikel@gmail.example,Mikel,Johns,Premium,,1,2020-09-26T17:51:58,2020-10-11T12:00:00,2020-10-12T20:00:20,FALSE,FALSE,FALSE,27.13033,-80.89367,US
elijah-rohan@gmail.example,Elijah,Rohan,Basic,Invite,5,2020-09-28T22:49:34,2020-10-28T01:31:08,2020-11-27T20:00:17,TRUE,FALSE,FALSE,39.79949,18.35815,IT
